ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
74,Ashley John Callus,M,21,188,85,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
75,Bronte Campbell,F,22,179,58,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
76,Cate Natalie Campbell,F,20,186,67,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
77,Cate Natalie Campbell,F,24,186,67,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
78,Cao Yuan,M,21,160,42,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Gold
79,Cecilia Carranza Saroli,F,29,164,63,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
80,Lisa Carrington,F,23,168,63,New Zealand,NZL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
81,Lisa Carrington,F,27,168,63,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
82,Naomi Sandra Castle,F,26,180,72,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
83,Yuriy Volodymyrovych Cheban,M,26,185,93,Ukraine,UKR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Gold
84,Chen Aisen,M,20,168,60,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,Gold
85,Chen Aisen,M,20,168,60,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Gold
86,Chen Ruolin,F,23,160,47,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Gold
87,Vlada Aleksandrovna Chigiryova,F,21,162,46,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
88,Aurica Chiri-Brscu,F,29,181,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
89,Csar Augusto Cielo Filho,M,21,195,80,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,Gold
90,"Caroline Archer ""KK"" Clark",F,26,188,72,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
91,"Joseph ""Joe"" Clarke",M,23,182,76,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
92,Scott Tyler Clary,M,23,185,84,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Backstroke,Gold
93,Jacob Clear,M,27,185,86,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
94,Nathan Cohen,M,26,184,87,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
