ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
355,Eirik Vers Larsen,M,28,182,80,Norway,NOR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
356,Breeja Larson,F,20,183,73,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
357,Jack David Laugher,M,21,166,65,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Gold
358,Chad Guy Bertrand le Clos,M,20,190,83,South Africa,RSA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Butterfly,Gold
359,Clment Lefert,M,24,185,73,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
360,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,Gold
361,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
362,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,27,167,60,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
363,Amaury Raymond Leveaux,M,26,202,88,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
364,Jason Edward Lezak,M,24,193,98,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
365,Jason Edward Lezak,M,28,193,98,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
366,Tom Liebscher,M,23,189,89,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
367,Julia Lier,F,24,183,78,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Gold
368,Kevin Richard Light,M,29,190,92,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
369,Lin Yue,M,25,163,53,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Gold
370,Caroline Lind,F,25,183,80,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
371,Caroline Lind,F,29,183,80,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
372,Andrew James Ronald Lindsay,M,23,185,93,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
373,Artur Sergeyevich Litvinchuk,M,20,189,83,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
374,Ryan Steven Lochte,M,20,188,88,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
375,Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
376,Ryan Steven Lochte,M,24,188,88,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold
377,Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
378,Ryan Steven Lochte,M,27,188,88,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,Gold
379,Esther Ruth  Lofgren,F,27,188,79,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
380,"Eleanor ""Elle"" Logan",F,20,188,86,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
381,"Eleanor ""Elle"" Logan",F,24,188,86,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
382,"Eleanor ""Elle"" Logan",F,28,188,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
383,Constantine Michael Louloudis,M,24,190,92,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
384,Igor Vladimirovich Lukashin,M,21,171,70,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Platform,Gold
385,Luo Xuejuan,F,20,167,64,China,CHN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,Gold
386,Luo Yutong,M,26,165,62,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,Gold
387,Manuela Lutze,F,26,185,78,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
388,Linda June MacKenzie (-Single),F,24,161,52,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
389,Natalia Madaj,F,28,175,68,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Gold
390,Norbert Madaras,M,24,191,91,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
391,Norbert Madaras,M,28,191,91,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Gold
392,Vadim Gennadyevich Makhnyov,M,28,196,100,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
393,"Thomas Andrew ""Tom"" Malchow",M,24,198,86,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,Gold
394,Florent Manaudou,M,21,199,99,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,Gold
395,Duan Mandi,M,22,202,105,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
396,Simone Ashley Manuel,F,20,178,73,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,Gold
397,Simone Ashley Manuel,F,20,178,73,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
398,Tams Mrcz,M,26,186,82,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
399,Melanie Margalis,F,24,173,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
400,Michal Martikn,M,29,170,73,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
401,Iker Martnez de Lizarduy Lizarribar,M,27,173,70,Spain,ESP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,Gold
402,Courtney Lynn Kaiulani  Mathewson,F,25,171,69,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
403,Courtney Lynn Kaiulani  Mathewson,F,29,171,69,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
404,Bronwyn Mayer-Smith,F,26,176,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
405,Tyler Tennant McGill,M,24,180,78,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
406,"Edward Daniel ""Ed"" McKeever",M,28,173,79,Great Britain,GBR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold
407,Emma McKeon,F,22,180,60,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
408,"Matthew ""Matt"" McLean",M,24,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
409,"Christopher James ""Chris"" Mears",M,23,172,70,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Gold
410,"Catherine Michelle ""Katie"" Meili",F,25,170,61,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
411,Oussama Mellouli,M,24,192,84,Tunisia,TUN,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
412,Oussama Mellouli,M,28,192,84,Tunisia,TUN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 10 kilometres Open Water,Gold
413,Meng Guanliang,M,27,185,90,China,CHN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
414,Faustine Lucie Merret,F,26,163,54,France,FRA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Windsurfer,Gold
415,Chantelle Lee Michell-Newbery,F,27,153,53,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Platform,Gold
416,Anna Mickelson-Cummins,F,28,183,75,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
417,Cody Miller,M,24,180,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
418,Gail Louise Miller (-Tune),F,23,180,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
419,Hannah Louise Mills,F,28,157,50,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Gold
420,Melissa Ann Mills,F,26,180,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
421,"Matthew John ""Matt"" Mitcham",M,20,174,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,Gold
422,Stefan Mitrovi,M,28,195,91,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
423,Daniele Cristoforo Molmenti,M,27,170,69,Italy,ITA,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
424,Tams Molnr,M,25,193,104,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
425,Tams Molnr,M,29,193,104,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
426,"Glenn Edward ""Ed"" Moses",M,20,180,78,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
427,Stephan Mlvig,M,25,180,75,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
428,Manuela Mucke,F,25,175,73,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
429,Camille-Marie Manuella Muffat,F,22,183,71,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Gold
430,Lukas Mller,M,25,208,102,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
431,Ryan Murphy,M,21,191,91,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,Gold
432,Ryan Murphy,M,21,191,91,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,Gold
433,Ryan Murphy,M,21,191,91,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
434,Petar Muslim,M,24,200,102,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
435,Meghan Musnicki,F,29,183,73,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
436,Maddalena Musumeci,F,28,170,65,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
437,George Christopher Nash,M,26,195,96,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
438,Ryk Neethling,M,26,196,95,South Africa,RSA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
439,Kiley Neushul,F,23,173,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
440,Hans Henrik Nilsson,M,28,190,86,Sweden,SWE,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
441,Maike Nollen,F,26,174,65,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
442,Olga Nikolayevna Novokshchenova,F,25,176,60,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
443,Olga Nikolayevna Novokshchenova,F,29,176,60,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
444,Paulo Obradovi,M,26,190,100,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
445,"Susan ""Susie"" O'Neill",F,27,171,63,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Freestyle,Gold
446,Maksim Aleksandrovich Opalev,M,29,184,93,Russia,RUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
447,Markus Tobias Oscarsson,M,27,184,86,Sweden,SWE,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
448,Inna Volodymyrivna Osypenko-Radomska,F,25,166,63,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
449,Nathan Outteridge,M,26,179,75,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,Gold
450,Yelena Valeryevna Ovchinnikova,F,26,173,61,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
451,Yuliya Vladimirovna Pakhalina,F,23,155,47,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Synchronized Springboard,Gold
452,Gregorio Paltrinieri,M,21,191,72,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
453,Ioana Cristina Papuc-Rotaru,F,20,183,79,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
454,Tessa Parkinson,F,21,177,66,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Two Person Dinghy,Gold
455,Aleksandra Vyacheslavovna Patskevich,F,23,169,69,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
456,Aleksandra Vyacheslavovna Patskevich,F,27,169,69,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
457,Ilse Paulis,F,23,174,57,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Gold
458,Todd Robert Pearson,M,22,189,84,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
459,Todd Robert Pearson,M,22,189,84,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
460,Adam George Peaty,M,21,191,86,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Gold
461,Aaron Wells Peirsol,M,21,191,91,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,Gold
462,Aaron Wells Peirsol,M,21,191,91,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,Gold
463,Aaron Wells Peirsol,M,21,191,91,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
464,Aaron Wells Peirsol,M,25,191,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Gold
465,Aaron Wells Peirsol,M,25,191,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
466,Federica Pellegrini,F,20,177,65,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,Gold
467,Peng Bo,M,23,165,62,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Springboard,Gold
468,Iain Bryden Percy,M,24,185,92,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's One Person Dinghy,Gold
469,Lauren Perdue,F,21,170,65,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
470,Carlos Prez Rial,M,29,182,84,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
471,Irina Vladimirovna Pershina,F,22,179,57,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
472,Benot Pierre Peschier,M,24,177,75,France,FRA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
473,Roman Ivanovich Petrushenko,M,27,191,91,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
474,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,Gold
475,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
476,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
477,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Gold
478,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,Gold
479,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Gold
480,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Gold
481,"Michael Fred Phelps, II",M,23,193,91,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
482,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
483,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,Gold
484,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,Gold
485,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
486,Blake Pieroni,M,20,188,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
487,Adam Robert Pine,M,24,183,80,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
488,Matthew Clive Pinsent,M,29,196,108,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
489,Carly Piper (-Ryan),F,20,187,81,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
490,Constana Pipot-Burcic,F,29,174,64,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Lightweight Double Sculls,Gold
491,Florin Popescu,M,26,183,80,Romania,ROU,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
492,Yury Viktorovich Postrigay,M,23,185,81,Russia,RUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
493,Camelia Alina Potec,F,22,178,65,Romania,ROU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,Gold
494,"Olivia Elizabeth ""Polly"" Powrie",F,24,173,70,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
495,Mitic Pricop,M,22,178,76,Romania,ROU,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
496,Andrija Prlainovi,M,29,200,106,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
497,Yelena Gennadyevna Prokofyeva,F,22,171,54,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
498,Angela Pumariega Menndez,F,27,165,60,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
499,"Zachary Jake Nicholas ""Zac"" Purchase",M,22,184,73,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,Gold
500,Qin Kai,M,22,170,65,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,Gold
501,Qin Kai,M,26,170,65,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,Gold
502,Nunzia Cinzia Ragusa,F,27,179,70,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
503,Simone Raineri,M,23,190,93,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
504,Sava Ranelovi,M,23,193,98,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
505,Ronald Rauhe,M,22,179,82,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
506,Jason Read,M,26,185,83,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
507,Elise Maree Rechichi,F,22,162,48,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Two Person Dinghy,Gold
508,"Peter ""Pete"" Reed",M,27,197,100,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Gold
509,Shayne Leanne Reese,F,25,168,62,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
510,Emily Regan,F,28,188,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
511,Maximilian Reinelt,M,23,195,98,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
512,Nicole Reinhardt,F,22,179,65,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
513,Max Rendschmidt,M,22,186,90,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
514,Max Rendschmidt,M,22,186,90,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
515,"Stephanie Louise ""Steph"" Rice",F,20,176,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
516,"Stephanie Louise ""Steph"" Rice",F,20,176,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,Gold
517,"Stephanie Louise ""Steph"" Rice",F,20,176,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,Gold
518,va Risztov,F,26,173,72,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,Gold
519,Taylor Ritzel,F,23,188,84,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
520,Svetlana Alekseyevna Romashina,F,22,173,57,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
521,Svetlana Alekseyevna Romashina,F,22,173,57,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
522,Svetlana Alekseyevna Romashina,F,26,173,57,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
523,Svetlana Alekseyevna Romashina,F,26,173,57,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
524,Giaan Leigh Rooney,F,21,175,63,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
525,Massimiliano Edgar Rosolino,M,22,192,88,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,Gold
526,Kelly Kristen Rulon,F,27,178,61,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
527,Cierra Runge,F,20,193,85,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
528,"Benjamin Jon ""Ben"" Rutledge",M,27,194,95,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
529,Katrin Rutschow-Stomporowski,F,29,180,79,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Single Sculls,Gold
530,Sarah Michelle Ryan,F,27,173,65,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
531,Max Salminen,M,23,197,98,Sweden,SWE,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Keelboat,Gold
532,Kaitlin Shea Sandeno (-Hogan),F,21,168,54,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
