GameId,Games,Year,Season,City
209,2012 Summer,2012,Summer,London
210,2008 Summer,2008,Summer,Beijing
211,2012 Summer,2012,Summer,London
212,2004 Summer,2004,Summer,Athina
213,2008 Summer,2008,Summer,Beijing
214,2012 Summer,2012,Summer,London
215,2016 Summer,2016,Summer,Rio de Janeiro
216,2016 Summer,2016,Summer,Rio de Janeiro
217,2000 Summer,2000,Summer,Sydney
218,2016 Summer,2016,Summer,Rio de Janeiro
219,2008 Summer,2008,Summer,Beijing
220,2004 Summer,2004,Summer,Athina
221,2004 Summer,2004,Summer,Athina
222,2008 Summer,2008,Summer,Beijing
223,2008 Summer,2008,Summer,Beijing
224,2000 Summer,2000,Summer,Sydney
225,2012 Summer,2012,Summer,London
226,2000 Summer,2000,Summer,Sydney
227,2000 Summer,2000,Summer,Sydney
228,2004 Summer,2004,Summer,Athina
229,2016 Summer,2016,Summer,Rio de Janeiro
230,2008 Summer,2008,Summer,Beijing
231,2000 Summer,2000,Summer,Sydney
232,2000 Summer,2000,Summer,Sydney
233,2004 Summer,2004,Summer,Athina
234,2000 Summer,2000,Summer,Sydney
235,2000 Summer,2000,Summer,Sydney
236,2004 Summer,2004,Summer,Athina
237,2008 Summer,2008,Summer,Beijing
238,2004 Summer,2004,Summer,Athina
239,2004 Summer,2004,Summer,Athina
240,2004 Summer,2004,Summer,Athina
241,2012 Summer,2012,Summer,London
242,2008 Summer,2008,Summer,Beijing
243,2012 Summer,2012,Summer,London
244,2008 Summer,2008,Summer,Beijing
245,2016 Summer,2016,Summer,Rio de Janeiro
246,2004 Summer,2004,Summer,Athina
247,2004 Summer,2004,Summer,Athina
248,2004 Summer,2004,Summer,Athina
249,2000 Summer,2000,Summer,Sydney
250,2016 Summer,2016,Summer,Rio de Janeiro
251,2000 Summer,2000,Summer,Sydney
252,2000 Summer,2000,Summer,Sydney
253,2004 Summer,2004,Summer,Athina
254,2008 Summer,2008,Summer,Beijing
255,2000 Summer,2000,Summer,Sydney
256,2004 Summer,2004,Summer,Athina
257,2008 Summer,2008,Summer,Beijing
258,2008 Summer,2008,Summer,Beijing
259,2000 Summer,2000,Summer,Sydney
260,2004 Summer,2004,Summer,Athina
261,2016 Summer,2016,Summer,Rio de Janeiro
262,2000 Summer,2000,Summer,Sydney
263,2012 Summer,2012,Summer,London
264,2008 Summer,2008,Summer,Beijing
265,2016 Summer,2016,Summer,Rio de Janeiro
266,2016 Summer,2016,Summer,Rio de Janeiro
267,2016 Summer,2016,Summer,Rio de Janeiro
268,2012 Summer,2012,Summer,London
269,2016 Summer,2016,Summer,Rio de Janeiro
270,2008 Summer,2008,Summer,Beijing
271,2004 Summer,2004,Summer,Athina
272,2000 Summer,2000,Summer,Sydney
273,2000 Summer,2000,Summer,Sydney
274,2008 Summer,2008,Summer,Beijing
275,2000 Summer,2000,Summer,Sydney
276,2008 Summer,2008,Summer,Beijing
277,2012 Summer,2012,Summer,London
278,2012 Summer,2012,Summer,London
279,2000 Summer,2000,Summer,Sydney
280,2008 Summer,2008,Summer,Beijing
281,2012 Summer,2012,Summer,London
282,2004 Summer,2004,Summer,Athina
283,2008 Summer,2008,Summer,Beijing
284,2012 Summer,2012,Summer,London
285,2012 Summer,2012,Summer,London
286,2008 Summer,2008,Summer,Beijing
287,2012 Summer,2012,Summer,London
288,2016 Summer,2016,Summer,Rio de Janeiro
289,2012 Summer,2012,Summer,London
290,2008 Summer,2008,Summer,Beijing
291,2012 Summer,2012,Summer,London
292,2008 Summer,2008,Summer,Beijing
293,2008 Summer,2008,Summer,Beijing
294,2008 Summer,2008,Summer,Beijing
295,2000 Summer,2000,Summer,Sydney
296,2000 Summer,2000,Summer,Sydney
297,2004 Summer,2004,Summer,Athina
298,2016 Summer,2016,Summer,Rio de Janeiro
299,2000 Summer,2000,Summer,Sydney
300,2004 Summer,2004,Summer,Athina
301,2004 Summer,2004,Summer,Athina
302,2008 Summer,2008,Summer,Beijing
303,2004 Summer,2004,Summer,Athina
304,2004 Summer,2004,Summer,Athina
305,2008 Summer,2008,Summer,Beijing
306,2000 Summer,2000,Summer,Sydney
307,2000 Summer,2000,Summer,Sydney
308,2000 Summer,2000,Summer,Sydney
309,2008 Summer,2008,Summer,Beijing
310,2008 Summer,2008,Summer,Beijing
311,2000 Summer,2000,Summer,Sydney
312,2000 Summer,2000,Summer,Sydney
313,2004 Summer,2004,Summer,Athina
314,2000 Summer,2000,Summer,Sydney
315,2004 Summer,2004,Summer,Athina
316,2004 Summer,2004,Summer,Athina
317,2004 Summer,2004,Summer,Athina
318,2008 Summer,2008,Summer,Beijing
319,2008 Summer,2008,Summer,Beijing
320,2008 Summer,2008,Summer,Beijing
321,2000 Summer,2000,Summer,Sydney
322,2000 Summer,2000,Summer,Sydney
323,2004 Summer,2004,Summer,Athina
324,2004 Summer,2004,Summer,Athina
325,2016 Summer,2016,Summer,Rio de Janeiro
326,2000 Summer,2000,Summer,Sydney
327,2004 Summer,2004,Summer,Athina
328,2008 Summer,2008,Summer,Beijing
329,2012 Summer,2012,Summer,London
330,2004 Summer,2004,Summer,Athina
331,2000 Summer,2000,Summer,Sydney
332,2000 Summer,2000,Summer,Sydney
333,2000 Summer,2000,Summer,Sydney
334,2004 Summer,2004,Summer,Athina
335,2012 Summer,2012,Summer,London
336,2012 Summer,2012,Summer,London
337,2016 Summer,2016,Summer,Rio de Janeiro
338,2016 Summer,2016,Summer,Rio de Janeiro
339,2016 Summer,2016,Summer,Rio de Janeiro
340,2012 Summer,2012,Summer,London
341,2000 Summer,2000,Summer,Sydney
342,2000 Summer,2000,Summer,Sydney
343,2000 Summer,2000,Summer,Sydney
344,2004 Summer,2004,Summer,Athina
345,2008 Summer,2008,Summer,Beijing
346,2012 Summer,2012,Summer,London
347,2004 Summer,2004,Summer,Athina
348,2012 Summer,2012,Summer,London
349,2012 Summer,2012,Summer,London
350,2000 Summer,2000,Summer,Sydney
351,2012 Summer,2012,Summer,London
352,2016 Summer,2016,Summer,Rio de Janeiro
353,2012 Summer,2012,Summer,London
354,2008 Summer,2008,Summer,Beijing
355,2004 Summer,2004,Summer,Athina
356,2012 Summer,2012,Summer,London
357,2016 Summer,2016,Summer,Rio de Janeiro
358,2012 Summer,2012,Summer,London
359,2012 Summer,2012,Summer,London
360,2008 Summer,2008,Summer,Beijing
361,2008 Summer,2008,Summer,Beijing
362,2012 Summer,2012,Summer,London
363,2012 Summer,2012,Summer,London
364,2000 Summer,2000,Summer,Sydney
365,2004 Summer,2004,Summer,Athina
366,2016 Summer,2016,Summer,Rio de Janeiro
367,2016 Summer,2016,Summer,Rio de Janeiro
368,2008 Summer,2008,Summer,Beijing
369,2016 Summer,2016,Summer,Rio de Janeiro
370,2008 Summer,2008,Summer,Beijing
371,2012 Summer,2012,Summer,London
372,2000 Summer,2000,Summer,Sydney
373,2008 Summer,2008,Summer,Beijing
374,2004 Summer,2004,Summer,Athina
375,2008 Summer,2008,Summer,Beijing
376,2008 Summer,2008,Summer,Beijing
377,2012 Summer,2012,Summer,London
378,2012 Summer,2012,Summer,London
379,2012 Summer,2012,Summer,London
380,2008 Summer,2008,Summer,Beijing
381,2012 Summer,2012,Summer,London
382,2016 Summer,2016,Summer,Rio de Janeiro
383,2016 Summer,2016,Summer,Rio de Janeiro
384,2000 Summer,2000,Summer,Sydney
385,2004 Summer,2004,Summer,Athina
386,2012 Summer,2012,Summer,London
387,2000 Summer,2000,Summer,Sydney
388,2008 Summer,2008,Summer,Beijing
389,2016 Summer,2016,Summer,Rio de Janeiro
390,2004 Summer,2004,Summer,Athina
391,2008 Summer,2008,Summer,Beijing
392,2008 Summer,2008,Summer,Beijing
393,2000 Summer,2000,Summer,Sydney
394,2012 Summer,2012,Summer,London
395,2016 Summer,2016,Summer,Rio de Janeiro
396,2016 Summer,2016,Summer,Rio de Janeiro
397,2016 Summer,2016,Summer,Rio de Janeiro
398,2000 Summer,2000,Summer,Sydney
399,2016 Summer,2016,Summer,Rio de Janeiro
400,2008 Summer,2008,Summer,Beijing
401,2004 Summer,2004,Summer,Athina
402,2012 Summer,2012,Summer,London
403,2016 Summer,2016,Summer,Rio de Janeiro
404,2000 Summer,2000,Summer,Sydney
405,2012 Summer,2012,Summer,London
406,2012 Summer,2012,Summer,London
407,2016 Summer,2016,Summer,Rio de Janeiro
408,2012 Summer,2012,Summer,London
409,2016 Summer,2016,Summer,Rio de Janeiro
410,2016 Summer,2016,Summer,Rio de Janeiro
411,2008 Summer,2008,Summer,Beijing
412,2012 Summer,2012,Summer,London
413,2004 Summer,2004,Summer,Athina
414,2004 Summer,2004,Summer,Athina
415,2004 Summer,2004,Summer,Athina
416,2008 Summer,2008,Summer,Beijing
417,2016 Summer,2016,Summer,Rio de Janeiro
418,2000 Summer,2000,Summer,Sydney
419,2016 Summer,2016,Summer,Rio de Janeiro
420,2000 Summer,2000,Summer,Sydney
421,2008 Summer,2008,Summer,Beijing
422,2016 Summer,2016,Summer,Rio de Janeiro
423,2012 Summer,2012,Summer,London
424,2000 Summer,2000,Summer,Sydney
425,2004 Summer,2004,Summer,Athina
426,2000 Summer,2000,Summer,Sydney
427,2004 Summer,2004,Summer,Athina
428,2000 Summer,2000,Summer,Sydney
429,2012 Summer,2012,Summer,London
430,2012 Summer,2012,Summer,London
431,2016 Summer,2016,Summer,Rio de Janeiro
432,2016 Summer,2016,Summer,Rio de Janeiro
