259,Kate Jon-Marie Hooper,F,22,177,73,Gold,Water Polo Women's Water Polo,AUS,2000 Summer
260,Beau Hoopman,M,23,193,91,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
261,"Mackenzie ""Mack"" Horton",M,20,190,88,Gold,Swimming Men's 400 metres Freestyle,AUS,2016 Summer
269,Pierre Houin,M,22,182,74,Gold,Rowing Men's Lightweight Double Sculls,FRA,2016 Summer
270,Malcolm Howard,M,25,200,100,Gold,Rowing Men's Coxed Eights,CAN,2008 Summer
271,Hu Jia,M,21,170,58,Gold,Diving Men's Platform,CHN,2004 Summer
272,"Benjamin ""Ben"" Hunt-Davis",M,28,198,95,Gold,Rowing Men's Coxed Eights,GBR,2000 Summer
273,Misty Dawn Marie Hyman,F,21,170,65,Gold,Swimming Women's 200 metres Butterfly,USA,2000 Summer
281,"Thomas Watkin ""Tom"" James",M,28,193,93,Gold,Rowing Men's Coxless Fours,GBR,2012 Summer
282,Otylia Jdrzejczak,F,20,187,73,Gold,Swimming Women's 200 metres Butterfly,POL,2004 Summer
283,Micha Jeliski,M,28,194,89,Gold,Rowing Men's Quadruple Sculls,POL,2008 Summer
284,Iain Jensen,M,24,186,80,Gold,Sailing Men's Skiff,AUS,2012 Summer
285,Jiao Liuyang,F,20,172,63,Gold,Swimming Women's 200 metres Butterfly,CHN,2012 Summer
286,Jin Ziwei,F,22,183,75,Gold,Rowing Women's Quadruple Sculls,CHN,2008 Summer
287,Eric Johannesen,M,24,193,100,Gold,Rowing Men's Coxed Eights,GER,2012 Summer
288,Ashleigh Johnson,F,21,186,81,Gold,Water Polo Women's Water Polo,USA,2016 Summer
289,Maro Jokovi,M,24,203,95,Gold,Water Polo Men's Water Polo,CRO,2012 Summer
304,Elvira Ramilevna Khasyanova,F,23,163,57,Gold,Synchronized Swimming Women's Team,RUS,2004 Summer
305,Elvira Ramilevna Khasyanova,F,27,163,57,Gold,Synchronized Swimming Women's Team,RUS,2008 Summer
306,Yekaterina Anatolyevna Khodotovich-Karsten,F,28,185,80,Gold,Rowing Women's Single Sculls,BLR,2000 Summer
307,"Thomas Jack ""Tom"" King",M,27,181,64,Gold,Sailing Men's Two Person Dinghy,AUS,2000 Summer
308,"William Ashley ""Bill"" Kirby",M,25,180,77,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,AUS,2000 Summer
309,Martin Kirketerp Ibsen,M,26,188,80,Gold,Sailing Mixed Skiff,DEN,2008 Summer
310,Gbor Kis,M,25,194,115,Gold,Water Polo Men's Water Polo,HUN,2008 Summer
311,Mariya Aleksandrovna Kiselyova,F,25,174,58,Gold,Synchronized Swimming Women's Duet,RUS,2000 Summer
312,Mariya Aleksandrovna Kiselyova,F,25,174,58,Gold,Synchronized Swimming Women's Team,RUS,2000 Summer
313,Mariya Aleksandrovna Kiselyova,F,29,174,58,Gold,Synchronized Swimming Women's Team,RUS,2004 Summer
314,"Gergely ""Gerg"" Kiss",M,22,198,112,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
315,"Gergely ""Gerg"" Kiss",M,26,198,112,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
316,Kosuke Kitajima,M,21,178,73,Gold,Swimming Men's 100 metres Breaststroke,JPN,2004 Summer
317,Kosuke Kitajima,M,21,178,73,Gold,Swimming Men's 200 metres Breaststroke,JPN,2004 Summer
318,Kosuke Kitajima,M,25,178,73,Gold,Swimming Men's 100 metres Breaststroke,JPN,2008 Summer
319,Kosuke Kitajima,M,25,178,73,Gold,Swimming Men's 200 metres Breaststroke,JPN,2008 Summer
320,Noeki Klein,F,25,179,80,Gold,Water Polo Women's Water Polo,NED,2008 Summer
321,Michael George Klim,M,23,191,81,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,AUS,2000 Summer
322,Michael George Klim,M,23,191,81,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,AUS,2000 Summer
323,Yana Oleksandrivna Klochkova,F,22,182,70,Gold,Swimming Women's 200 metres Individual Medley,UKR,2004 Summer
324,Yana Oleksandrivna Klochkova,F,22,182,70,Gold,Swimming Women's 400 metres Individual Medley,UKR,2004 Summer
325,Svetlana Konstantinovna Kolesnichenko,F,22,171,53,Gold,Synchronized Swimming Women's Team,RUS,2016 Summer
347,Hans Thor Juul Kristensen,M,24,186,72,Gold,Rowing Men's Lightweight Coxless Fours,DEN,2004 Summer
348,Ranomi Kromowidjojo,F,21,180,72,Gold,Swimming Women's 50 metres Freestyle,NED,2012 Summer
349,Ranomi Kromowidjojo,F,21,180,72,Gold,Swimming Women's 100 metres Freestyle,NED,2012 Summer
350,Tomasz Bogusaw Kucharski,M,26,181,72,Gold,Rowing Men's Lightweight Double Sculls,POL,2000 Summer
351,Andreas Kuffner,M,25,196,94,Gold,Rowing Men's Coxed Eights,GER,2012 Summer
352,Kahena Kunze,F,25,172,68,Gold,Sailing Women's Skiff,BRA,2016 Summer
356,Breeja Larson,F,20,183,73,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2012 Summer
357,Jack David Laugher,M,21,166,65,Gold,Diving Men's Synchronized Springboard,GBR,2016 Summer
358,Chad Guy Bertrand le Clos,M,20,190,83,Gold,Swimming Men's 200 metres Butterfly,RSA,2012 Summer
359,Clment Lefert,M,24,185,73,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,2012 Summer
360,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Gold,Swimming Women's 100 metres Butterfly,AUS,2008 Summer
361,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Gold,Swimming Women's 4 x 100 metres Medley Relay,AUS,2008 Summer
362,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,27,167,60,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2012 Summer
363,Amaury Raymond Leveaux,M,26,202,88,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,2012 Summer
364,Jason Edward Lezak,M,24,193,98,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2000 Summer
365,Jason Edward Lezak,M,28,193,98,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2004 Summer
2,Filip Kamil Adamski,M,29,189,87,Gold,Rowing Men's Coxed Eights,GER,2012 Summer
3,Nathan Ghar-Jun Adrian,M,23,198,100,Gold,Swimming Men's 100 metres Freestyle,USA,2012 Summer
4,Nathan Ghar-Jun Adrian,M,23,198,100,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2012 Summer
5,Nathan Ghar-Jun Adrian,M,27,198,100,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,USA,2016 Summer
6,Nathan Ghar-Jun Adrian,M,27,198,100,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2016 Summer
7,Yannick Agnel,M,20,202,90,Gold,Swimming Men's 200 metres Freestyle,FRA,2012 Summer
8,Yannick Agnel,M,20,202,90,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,2012 Summer
9,"Christian ""Chris"" Ahrens",M,28,195,97,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
10,"Charles Benedict ""Ben"" Ainslie",M,23,183,90,Gold,Sailing Mixed One Person Dinghy,GBR,2000 Summer
11,"Charles Benedict ""Ben"" Ainslie",M,27,183,90,Gold,Sailing Men's One Person Dinghy,GBR,2004 Summer
12,Marina Alabau Neira,F,26,164,55,Gold,Sailing Women's Windsurfer,ESP,2012 Summer
13,Jo Qesem Ayela Aleh,F,26,171,58,Gold,Sailing Women's Two Person Dinghy,NZL,2012 Summer
14,Wyatt Allen,M,25,193,98,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
15,Alyssa Jean Anderson,F,21,173,64,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2012 Summer
16,"Elizabeth ""Betsey"" Armstrong",F,29,188,77,Gold,Water Polo Women's Water Polo,USA,2012 Summer
17,"Thomas John Mitchell ""Tom"" Ashley",M,24,188,70,Gold,Sailing Men's Windsurfer,NZL,2008 Summer
18,Louis Mark Attrill,M,25,193,95,Gold,Rowing Men's Coxed Eights,GBR,2000 Summer
19,Sarah Lianne Ayton (-Dempsey),F,24,167,63,Gold,Sailing Women's Three Person Keelboat,GBR,2004 Summer
20,Sarah Lianne Ayton (-Dempsey),F,28,167,63,Gold,Sailing Women's Three Person Keelboat,GBR,2008 Summer
21,Yelena Yuryevna Azarova,F,27,165,64,Gold,Synchronized Swimming Women's Team,RUS,2000 Summer
22,Jrmie Azou,M,27,178,71,Gold,Rowing Men's Lightweight Double Sculls,FRA,2016 Summer
23,Dmitry Igorevich Balandin,M,21,195,85,Gold,Swimming Men's 200 metres Breaststroke,KAZ,2016 Summer
24,Carina Br,F,26,185,75,Gold,Rowing Women's Quadruple Sculls,GER,2016 Summer
25,Amanda Ray Beard (-Brown),F,22,173,59,Gold,Swimming Women's 200 metres Breaststroke,USA,2004 Summer
26,Anna Rose Bebington-Watkins,F,29,183,78,Gold,Rowing Women's Double Sculls,GBR,2012 Summer
